2001	Information 	Unknown 	2022-01-30 14:22:43 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:22:43 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:22:43 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:22:43 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:23:22 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:23:22 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:23:22 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:23:22 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:26:33 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:26:33 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:26:33 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:26:33 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:26:43 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:26:43 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:26:43 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:26:43 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:26:44 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:26:44 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:26:44 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:26:44 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:32:34 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:32:34 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:32:34 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:32:34 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:32:37 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:32:37 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:32:37 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:32:37 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:33:11 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:33:11 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:33:11 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:33:11 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:37:43 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:37:43 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:37:43 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:37:43 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:39:03 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:39:03 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:39:03 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:39:03 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:39:04 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:39:04 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:39:04 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:39:04 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:39:05 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:39:05 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:39:05 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:39:05 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:48:16 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:48:16 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:48:16 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:48:16 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:48:48 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:48:48 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:48:48 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:48:48 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:58:50 	Connection established successfully with database 
